,Номенклатура,ДатаПонедельника,МесяцГод,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,Месяц,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,ОстаткиПередНеделей,ОстаткиПослеНедели,Прогноз
76,49775,2018-06-11,"[6, 2018]",14.0,4387.4,"['1024.94', '1029.62', '1029.62', '514.81']",6.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
77,49775,2018-06-18,"[6, 2018]",7.0,1962.0,"['1027.04', '513.52', '256.76']",6.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
78,49775,2018-06-25,"[6.285714285714286, 2018]",12.0,3474.52,"['1026.99', '513.49', '1537.96']",6.285714285714286,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
79,49775,2018-07-02,"[7, 2018]",0.0,0.0,[],7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
80,49775,2018-07-09,"[7, 2018]",38.0,10444.92,"['1016.94', '1016.94', '5105.4', '510.91', '2045.76']",7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
81,49775,2018-07-16,"[7, 2018]",2.0,670.64,['517.12'],7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
82,49775,2018-07-23,"[7, 2018]",20.0,5543.96,"['1007.54', '503.77', '3022.63', '515.96']",7.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
83,49775,2018-07-30,"[7.857142857142857, 2018]",14.0,4168.24,"['503.77', '503.77', '1511.69', '515.32', '509.3']",7.857142857142857,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
84,49775,2018-08-06,"[8, 2018]",26.0,6925.36,"['504.5', '1009.01', '4532.69', '504.5']",8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
85,49775,2018-08-13,"[8, 2018]",19.0,5328.42,"['1007.73', '503.87', '503.87', '503.87', '503.33', '1006.65', '251.66', '503.33']",8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
86,49775,2018-08-20,"[8, 2018]",18.0,5613.08,"['503.33', '1009.04', '1003.98', '505.71', '1511.16']",8.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
87,49775,2018-08-27,"[8.428571428571429, 2018]",10.0,3127.26,"['505.71', '489.07', '1010.21', '489.07']",8.428571428571429,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
88,49775,2018-09-03,"[9, 2018]",15.0,4067.9,"['976.7', '2770.46']",9.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
89,49775,2018-09-10,"[9, 2018]",12.0,3371.16,"['487.62', '487.62', '978.14', '975.24']",9.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
90,49775,2018-09-17,"[9, 2018]",15.0,4345.46,"['243.81', '1072', '496.06', '1998.46']",9.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
91,49775,2018-09-24,"[9.142857142857142, 2018]",16.0,4826.64,"['2000.9', '487.62', '976.42', '493.91']",9.142857142857142,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
92,49775,2018-10-01,"[10, 2018]",16.0,4513.5599999999995,"['976.42', '488.21', '1464.62', '976.41']",10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
93,49775,2018-10-08,"[10, 2018]",10.0,3041.2200000000003,"['501.37', '488.21', '1000.82', '487.62']",10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
94,49775,2018-10-15,"[10, 2018]",32.0,8954.48,"['1013.02', '1025.22', '500.41', '5581.67']",10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
95,49775,2018-10-22,"[10, 2018]",4.0,1341.28,['1000.82'],10.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
96,49775,2018-10-29,"[10.714285714285714, 2018]",12.0,3420.79,"['1025.22', '1026.34', '256.31', '756.72']",10.714285714285714,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
97,49775,2018-11-05,"[11, 2018]",10.0,2830.0,"['513.17', '2054.62']",11.0,,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0,0
