,Дата,День недели,Номенклатура,КоличествоОборот,СуммаВыручкиБезНДСОборот,Себестоимость,"Высота профиля, %","Высота шины, мм",Индекс нагрузки,Комплектность,Максимальная нагрузка,Наружный диаметр шины,Норма слойности,"Посадочный диаметр, дюйм",Предполагаемый контрагент,Сезон,Ширина профиля,Страна происхождения,Сезонная группа,remains_morning,remains_evening
1389,2020-10-21,2,49775,2.0,664.0,['569.63'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1390,2020-10-22,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1391,2020-10-23,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1392,2020-10-24,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1393,2020-10-25,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1394,2020-10-26,0,49775,4.0,1320.0,['1145.37'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1395,2020-10-27,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1396,2020-10-28,2,49775,2.0,664.0,['569.63'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1397,2020-10-29,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1398,2020-10-30,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1399,2020-10-31,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1400,2020-11-01,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1401,2020-11-02,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1402,2020-11-03,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1403,2020-11-04,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1404,2020-11-05,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1405,2020-11-06,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1406,2020-11-07,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1407,2020-11-08,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1408,2020-11-09,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1409,2020-11-10,1,49775,3.0,1089.98,"['569.63', '273.23']",,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1410,2020-11-11,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1411,2020-11-12,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1412,2020-11-13,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1413,2020-11-14,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1414,2020-11-15,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1415,2020-11-16,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1416,2020-11-17,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1417,2020-11-18,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1418,2020-11-19,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1419,2020-11-20,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1420,2020-11-21,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1421,2020-11-22,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1422,2020-11-23,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1423,2020-11-24,1,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1424,2020-11-25,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1425,2020-11-26,3,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1426,2020-11-27,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1427,2020-11-28,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1428,2020-11-29,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1429,2020-11-30,0,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1430,2020-12-01,1,49775,2.0,654.0,['564.25'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1431,2020-12-02,2,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1432,2020-12-03,3,49775,4.0,1472.0,['1150.71'],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1433,2020-12-04,4,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1434,2020-12-05,5,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
1435,2020-12-06,6,49775,0.0,0.0,[],,1080.0,149/145,,,,,R20,Кама Торговый дом,,297,РОССИЯ,41_апр-окт,0,0
